name,email,branch,mobileNumber,password,userType,destination
CE,cef@gmail.com,CE,2222222222,cef,101,faculty
ME,mef@gmail.com,ME,2222222222,mef,102,faculty
EE,eef@gmail.com,EE,2222222222,eef,103,faculty
ECE,ecef@gmail.com,ECE,2222222222,ecef,104,faculty
IT,itf@gmail.com,IT,2222222222,itf,106,faculty
LT,ltf@gmail.com,LT,2222222222,ltf,107,faculty
PH,phf@gmail.com,PH,2222222222,phf,109,faculty
BMR,bmrf@gmail.com,BMR,2222222222,bmrf,117,faculty
admin,admin@gmail.com,IT,222222222,itf,0,admin
check,check@gmail.com,IT,33422,checkf,0,admin
Vikas,vikas@gmail.com,IT,222222222,vikas,1,student
shalini,shalini@gmail.com,,0,0,0,admin
shalini,shalini@gmail.com,IT,0,0,0,admin
1,1@gmail.com,IT,0,0,0,admin
